Nama,KloroGreen,KloroRedEdge,CaroGreen,CaroRedEdge,Antho
H-53,0.886786629,0.052480815,0.709527107,1.307574503,0.598047396
H-54,1.014902697,0.070872894,0.661202323,1.343319329,0.682117006
H-55,1.120326422,0.034982555,0.743542318,1.612371624,0.868829307
H-56,1.051074105,0.084250037,0.609563992,1.29701056,0.687446567
H-57,0.769167946,0.01693975,0.73460107,1.304228607,0.569627537
H-58,0.79306778,0.009706436,0.861309273,1.448869393,0.587560121
H-59,1.054924383,0.059711525,0.794839006,1.542276359,0.747437354
H-6,1.261527745,0.240716771,0.832330486,1.415267494,0.582937008
H-60,0.953534941,0.157322261,0.971255502,1.435073605,0.463818102
H-61,0.893795012,0.135061962,0.98166095,1.419695935,0.438034984
H-62,0.905471334,0.157847559,0.864739286,1.255644381,0.390905096
H-63,0.769672102,0.113065314,0.82306282,1.213590707,0.390527887
H-65,0.696656993,0.094769163,0.781483928,1.148690113,0.367206185
H-66,1.07033898,0.21250856,0.87314237,1.324321434,0.451179065
H-67,1.193991012,0.253809602,0.726999857,1.229884317,0.502884461
H-68,0.8363765,0.130435392,0.837327403,1.257189662,0.419862259
H-7,1.101045933,0.228918888,0.771305011,1.242253746,0.470948735
H-8,1.210135148,0.193637433,0.858323544,1.485628149,0.627304605
H-9,1.118122279,0.254794492,0.671534592,1.111132237,0.439597646
HK-1,0.508484857,0.075311925,1.137225771,1.331901189,0.194675419
HK-2,0.756728824,0.157090917,1.121816151,1.393254783,0.271438632
HK-3,0.411149951,0.037675696,1.020081149,1.212584404,0.192503255
HK-4,0.427499426,0.047245743,0.912284175,1.118045017,0.205760841
HK-5,0.514440774,0.062291204,1.006028013,1.255940979,0.249912966
HK-6,0.493220169,0.072047088,0.97617965,1.18036373,0.204184079
HK-7,0.793131295,0.161758873,1.095791315,1.398290337,0.302499022
K-1,-0.022103886,-0.136767218,0.823207293,0.927888207,0.104680914
K-10,-0.116924758,-0.161179637,0.442079293,0.511603362,0.069524069
K-11,-0.116579431,-0.158871463,0.453758411,0.51964228,0.065883869
K-12,0.021290967,-0.112031994,0.811920948,0.922148993,0.110228045
K-13,0.001443321,-0.115142664,0.76322732,0.860025559,0.096798239
K-14,-0.012738736,-0.120067281,0.701623578,0.795929018,0.09430544
K-15,0.07979586,-0.078115674,0.83621486,0.943081062,0.106866202
K-16,0.047450638,-0.107593721,0.946116513,1.06455124,0.118434727
K-17,0.05072501,-0.101378038,0.830300649,0.95000168,0.119701031
K-18,0.05945326,-0.110620825,0.944820707,1.079213193,0.134392486
K-19,-0.0355149,-0.122913379,0.660735865,0.741014767,0.080278903
K-2,0.032852549,-0.11460312,0.830297901,0.955312988,0.125015086
K-20,-0.045943275,-0.1282497,0.692509831,0.768052014,0.075542184
K-21,-0.055355816,-0.142208001,0.674995279,0.767439481,0.092444202
K-22,0.227224718,-0.010539634,0.933330181,1.052796428,0.119466247
